filename,baseColour,articleType,season,gender
33086.jpg,7,10,3,2
18133.jpg,8,13,2,0
11842.jpg,2,4,2,0
47635.jpg,7,10,1,2
5682.jpg,2,4,3,0
1876.jpg,8,23,3,0
58856.jpg,0,13,2,0
31456.jpg,0,23,2,0
8017.jpg,8,23,0,0
44190.jpg,4,7,3,2
4295.jpg,9,23,2,0
20378.jpg,0,13,0,2
14347.jpg,0,19,0,0
51547.jpg,6,25,3,2
11046.jpg,8,16,0,0
27646.jpg,0,23,2,0
40983.jpg,8,23,2,0
25726.jpg,2,1,3,0
37086.jpg,0,13,2,2
23845.jpg,8,19,0,0
42049.jpg,6,13,2,2
21646.jpg,5,2,2,2
21909.jpg,1,13,0,2
11539.jpg,8,12,2,2
24149.jpg,1,23,1,0
57006.jpg,4,6,3,2
19259.jpg,4,25,3,2
59702.jpg,0,13,2,2
16183.jpg,0,8,0,0
5671.jpg,8,23,2,0
22372.jpg,7,16,0,0
30905.jpg,7,13,2,2
49123.jpg,7,13,1,2
31606.jpg,0,0,3,1
19073.jpg,6,12,0,2
16413.jpg,3,23,0,0
14823.jpg,2,1,2,0
52879.jpg,6,13,0,2
6800.jpg,8,4,2,1
57592.jpg,2,13,1,2
34322.jpg,7,23,2,0
43342.jpg,1,19,2,0
20284.jpg,3,23,2,0
11379.jpg,1,21,0,2
22541.jpg,8,19,2,0
10568.jpg,1,13,0,0
46104.jpg,3,7,2,0
11897.jpg,2,8,0,0
35793.jpg,6,4,2,2
40120.jpg,3,23,2,2
19833.jpg,1,16,0,0
29925.jpg,8,25,3,2
4200.jpg,1,23,2,0
46298.jpg,6,13,1,2
25978.jpg,7,14,1,2
32565.jpg,1,21,2,2
53602.jpg,0,25,3,0
51367.jpg,1,11,2,2
8161.jpg,8,16,2,0
33895.jpg,0,25,3,0
17284.jpg,1,23,0,0
46943.jpg,9,14,1,2
32192.jpg,2,7,2,0
14501.jpg,0,4,0,0
47332.jpg,6,24,2,2
59060.jpg,7,12,2,2
26933.jpg,0,21,2,2
7325.jpg,0,8,3,0
42119.jpg,1,17,2,0
46156.jpg,9,13,3,2
26288.jpg,0,23,2,0
14495.jpg,1,4,0,0
6169.jpg,1,7,2,2
7940.jpg,0,13,0,2
28514.jpg,0,17,2,0
7369.jpg,2,4,3,0
12036.jpg,8,16,0,0
25653.jpg,8,25,3,0
42096.jpg,0,23,2,0
12433.jpg,0,18,0,0
24987.jpg,0,21,2,2
57995.jpg,0,5,0,2
29371.jpg,1,16,2,0
11950.jpg,2,4,2,0
29317.jpg,1,0,2,1
15254.jpg,7,4,0,2
26272.jpg,1,23,2,0
8505.jpg,8,18,2,1
15891.jpg,9,15,0,1
17542.jpg,8,16,0,0
2667.jpg,0,9,3,2
59810.jpg,8,23,2,0
50725.jpg,0,8,3,0
55500.jpg,7,13,1,2
8954.jpg,2,22,0,0
36380.jpg,1,18,2,0
3983.jpg,8,23,2,0
19993.jpg,0,23,2,0
11438.jpg,0,21,0,2
13233.jpg,9,23,0,0
49978.jpg,1,13,2,0
21176.jpg,8,19,0,0
19005.jpg,0,13,2,2
43085.jpg,9,23,2,2
2626.jpg,7,6,0,2
15959.jpg,0,13,0,0
23605.jpg,3,14,1,2
3640.jpg,0,4,2,0
33248.jpg,8,16,2,0
46582.jpg,4,10,2,2
14896.jpg,0,9,2,2
6312.jpg,8,21,2,2
7864.jpg,2,8,2,0
31582.jpg,1,23,2,0
18169.jpg,7,5,0,2
53121.jpg,9,23,2,2
33772.jpg,0,0,0,2
55133.jpg,9,13,1,2
7898.jpg,7,17,0,0
3694.jpg,3,4,2,0
57439.jpg,7,23,2,2
27104.jpg,0,12,2,2
5894.jpg,0,9,2,1
28590.jpg,0,1,2,0
6297.jpg,0,7,2,1
22453.jpg,0,21,0,2
7525.jpg,7,23,2,0
29297.jpg,0,23,2,2
18851.jpg,7,23,0,0
16830.jpg,8,23,0,2
19793.jpg,1,23,0,0
48953.jpg,4,13,2,0
22376.jpg,8,16,0,0
46046.jpg,4,13,3,2
56226.jpg,3,13,2,0
8798.jpg,7,16,0,0
26820.jpg,1,22,2,0
33962.jpg,0,13,2,2
19335.jpg,8,13,0,0
19405.jpg,1,23,2,0
23591.jpg,6,13,1,2
38024.jpg,0,25,3,2
17580.jpg,1,22,0,0
41771.jpg,3,21,2,2
38541.jpg,0,4,2,0
24995.jpg,1,11,2,0
5928.jpg,0,4,2,2
9933.jpg,0,23,0,0
5485.jpg,8,19,2,0
12116.jpg,9,12,0,2
5819.jpg,8,23,2,0
22890.jpg,3,15,2,0
25289.jpg,0,9,2,2
45221.jpg,0,25,3,0
55429.jpg,6,13,1,2
28946.jpg,8,13,2,2
7148.jpg,0,21,0,2
50693.jpg,1,13,2,0
29753.jpg,0,25,3,0
16757.jpg,0,13,3,2
25210.jpg,0,9,3,2
8304.jpg,0,19,2,2
1923.jpg,8,19,0,2
2508.jpg,2,4,0,0
27428.jpg,0,23,0,2
22150.jpg,2,15,0,0
14665.jpg,8,16,0,0
12807.jpg,7,13,0,2
35462.jpg,2,4,2,0
39608.jpg,8,10,3,2
47591.jpg,0,10,3,2
55623.jpg,0,4,2,0
23854.jpg,0,19,0,0
31122.jpg,8,21,2,2
48742.jpg,4,13,2,0
38324.jpg,1,13,2,1
3652.jpg,0,19,2,0
26704.jpg,8,19,0,0
56344.jpg,2,25,3,0
10571.jpg,1,23,0,0
41875.jpg,2,15,0,0
26648.jpg,0,4,2,0
58098.jpg,1,13,0,2
11716.jpg,1,16,2,0
56032.jpg,2,13,1,2
23608.jpg,8,13,1,2
55008.jpg,7,13,1,2
42066.jpg,0,13,2,1
23460.jpg,2,13,3,0
35318.jpg,4,13,3,2
39893.jpg,2,4,2,0
26928.jpg,0,5,2,2
7080.jpg,0,0,3,1
32647.jpg,1,23,2,0
25483.jpg,9,7,2,1
55621.jpg,0,8,2,0
37085.jpg,2,13,2,2
9575.jpg,7,0,0,1
50575.jpg,0,13,2,0
30000.jpg,4,25,3,2
58553.jpg,0,20,3,2
34111.jpg,1,21,2,2
35665.jpg,8,7,2,0
31143.jpg,3,23,2,0
56414.jpg,2,15,1,0
20383.jpg,8,13,0,0
6368.jpg,0,4,2,0
9916.jpg,8,13,0,2
23143.jpg,6,13,0,2
13477.jpg,0,4,3,2
43523.jpg,2,22,3,2
40013.jpg,0,20,3,0
19811.jpg,0,13,0,0
24410.jpg,8,19,2,0
40599.jpg,2,13,2,2
24296.jpg,7,18,2,0
38469.jpg,6,24,2,2
18224.jpg,7,23,0,0
44672.jpg,1,16,3,2
29103.jpg,1,0,2,1
37097.jpg,3,23,2,0
35337.jpg,4,13,3,2
27463.jpg,0,3,3,2
6937.jpg,9,23,2,0
35794.jpg,0,10,2,2
51168.jpg,0,18,2,0
3511.jpg,1,13,0,0
6408.jpg,2,15,2,0
4797.jpg,0,17,2,0
29511.jpg,1,25,3,2
5292.jpg,2,4,2,0
2501.jpg,7,4,0,0
46727.jpg,0,14,1,0
14070.jpg,0,23,0,0
25150.jpg,0,9,3,2
33822.jpg,8,19,2,0
8167.jpg,3,16,2,0
23141.jpg,1,13,0,0
45344.jpg,5,10,2,2
28277.jpg,4,20,3,0
36054.jpg,1,9,0,1
56884.jpg,0,10,3,2
48972.jpg,4,13,2,2
7117.jpg,0,0,3,1
12156.jpg,8,13,0,2
2200.jpg,7,23,0,0
38741.jpg,0,0,2,1
12638.jpg,7,23,0,0
6071.jpg,7,23,2,2
7941.jpg,0,23,0,0
46135.jpg,0,13,3,2
10567.jpg,7,23,0,2
58202.jpg,0,1,2,0
48222.jpg,0,20,3,2
42738.jpg,4,6,3,2
44911.jpg,0,13,2,0
12078.jpg,7,12,0,2
23746.jpg,2,20,3,1
49266.jpg,1,18,2,0
22607.jpg,1,17,0,0
55142.jpg,7,13,1,2
39211.jpg,0,8,2,0
33055.jpg,1,16,2,0
31453.jpg,0,23,2,2
17499.jpg,1,23,0,0
58295.jpg,1,18,2,0
21643.jpg,5,2,2,2
54858.jpg,7,13,0,2
50611.jpg,0,3,2,0
36098.jpg,0,24,2,0
3441.jpg,1,23,2,2
13945.jpg,7,23,2,0
16708.jpg,8,23,0,0
49510.jpg,0,4,2,0
50650.jpg,1,13,3,0
9784.jpg,2,8,3,0
4304.jpg,7,23,2,1
21137.jpg,0,13,0,2
12839.jpg,0,13,0,2
37048.jpg,2,1,2,2
15236.jpg,1,4,0,0
34020.jpg,9,23,2,0
59902.jpg,8,13,0,2
37679.jpg,1,0,2,1
6459.jpg,1,7,2,2
4638.jpg,8,19,2,2
13672.jpg,1,11,0,1
39643.jpg,8,4,2,0
8679.jpg,0,20,3,1
40578.jpg,8,12,2,2
27346.jpg,7,13,1,2
18922.jpg,1,16,0,0
56858.jpg,0,7,2,0
54517.jpg,8,19,0,0
23602.jpg,1,14,1,0
8519.jpg,7,9,2,2
22922.jpg,0,25,3,2
39527.jpg,0,13,2,1
13192.jpg,1,4,0,0
16826.jpg,3,23,0,2
57209.jpg,1,11,0,2
46515.jpg,6,25,3,0
54068.jpg,0,4,2,0
39465.jpg,2,13,2,2
45006.jpg,0,25,3,0
45202.jpg,0,25,3,0
6540.jpg,3,23,2,0
8426.jpg,7,13,0,1
37587.jpg,3,13,2,2
5017.jpg,7,13,2,2
29073.jpg,1,0,3,0
43410.jpg,6,16,2,0
21950.jpg,7,9,3,2
22759.jpg,8,12,0,2
49789.jpg,7,13,2,0
35574.jpg,7,7,2,0
43089.jpg,0,13,1,0
55584.jpg,6,13,1,2
10488.jpg,1,11,0,0
19572.jpg,7,23,2,0
32639.jpg,7,23,2,0
57824.jpg,3,22,0,2
4974.jpg,9,16,2,0
10729.jpg,0,9,3,2
6323.jpg,0,7,1,1
55058.jpg,6,13,1,2
8392.jpg,8,23,0,0
51202.jpg,5,2,2,2
33296.jpg,1,16,2,0
28491.jpg,7,23,0,0
36233.jpg,0,19,2,2
12173.jpg,0,16,0,0
22837.jpg,8,4,2,0
31841.jpg,8,25,3,0
52470.jpg,8,13,3,2
38451.jpg,1,9,2,2
33212.jpg,0,21,2,2
51570.jpg,4,25,3,0
17030.jpg,2,7,1,0
8408.jpg,7,23,0,0
19057.jpg,3,12,0,2
44237.jpg,3,4,2,2
58625.jpg,8,13,3,2
33093.jpg,0,4,3,2
15969.jpg,0,16,0,0
54880.jpg,1,13,0,2
19455.jpg,0,23,2,0
45420.jpg,4,6,3,2
10273.jpg,0,15,2,0
46799.jpg,0,19,2,2
5780.jpg,6,21,2,2
9477.jpg,0,16,0,0
57966.jpg,5,13,0,2
58817.jpg,2,4,1,2
9762.jpg,0,8,0,0
6466.jpg,7,7,2,2
27439.jpg,1,21,0,2
42105.jpg,0,17,1,0
58800.jpg,1,16,0,0
19337.jpg,0,13,0,0
51465.jpg,1,5,2,2
13097.jpg,7,13,0,0
13380.jpg,0,13,0,1
42074.jpg,0,24,2,0
36809.jpg,7,14,1,2
12534.jpg,0,13,0,0
48523.jpg,6,13,3,2
59233.jpg,8,25,3,0
50281.jpg,7,13,2,0
40631.jpg,9,12,2,2
47374.jpg,6,9,2,2
34900.jpg,3,13,2,2
30269.jpg,2,20,2,0
39175.jpg,9,12,2,2
52330.jpg,0,24,3,2
48436.jpg,0,23,2,0
34450.jpg,4,6,3,2
19649.jpg,6,21,0,2
22559.jpg,7,13,1,0
47420.jpg,4,13,0,2
20994.jpg,6,1,3,2
13739.jpg,0,16,0,0
29728.jpg,5,9,2,2
27008.jpg,0,11,2,2
57946.jpg,2,4,1,0
12394.jpg,0,18,2,0
43200.jpg,0,25,2,0
23232.jpg,0,12,0,2
45317.jpg,0,1,2,0
48168.jpg,2,24,3,2
1907.jpg,0,23,0,0
26526.jpg,0,4,1,0
6548.jpg,0,0,2,1
50451.jpg,0,3,3,0
5615.jpg,0,15,2,0
55841.jpg,7,13,1,2
7267.jpg,2,4,0,0
15729.jpg,0,19,0,0
41945.jpg,7,7,3,2
44539.jpg,0,15,2,0
39960.jpg,2,15,1,0
40516.jpg,8,25,3,0
6775.jpg,1,23,2,0
57281.jpg,8,16,2,0
57499.jpg,0,8,2,0
47293.jpg,2,13,0,2
19156.jpg,8,23,2,0
19223.jpg,1,13,2,0
11126.jpg,1,13,0,2
40524.jpg,8,25,3,0
41888.jpg,1,11,2,0
29778.jpg,2,22,2,0
51573.jpg,4,25,3,2
7506.jpg,0,23,2,0
9042.jpg,2,8,3,0
39011.jpg,1,13,2,2
35493.jpg,0,8,2,0
12518.jpg,2,4,3,0
3285.jpg,9,23,2,0
20036.jpg,0,13,0,2
2350.jpg,8,23,0,0
25334.jpg,4,25,3,2
22208.jpg,7,16,0,0
43723.jpg,4,13,2,2
58668.jpg,5,12,2,2
13462.jpg,3,23,2,0
29043.jpg,1,13,2,0
58212.jpg,8,13,0,2
3860.jpg,1,23,2,0
52099.jpg,8,13,2,2
45863.jpg,5,12,2,2
8482.jpg,8,5,0,2
18861.jpg,7,23,0,0
19856.jpg,3,13,3,0
29189.jpg,0,13,2,0
11082.jpg,7,16,0,0
59727.jpg,7,2,2,2
39593.jpg,8,4,3,2
36542.jpg,1,24,2,0
2215.jpg,3,15,0,0
24344.jpg,1,23,0,0
7120.jpg,3,0,3,1
8338.jpg,8,23,0,0
46973.jpg,0,9,2,2
37307.jpg,0,25,3,0
43305.jpg,7,16,2,2
36649.jpg,1,24,2,2
50740.jpg,0,8,3,0
56639.jpg,8,13,2,2
26472.jpg,8,23,2,0
10081.jpg,8,19,0,0
10048.jpg,0,23,0,0
2012.jpg,8,23,0,0
5072.jpg,0,25,3,2
52575.jpg,0,13,2,2
2259.jpg,1,23,0,0
2290.jpg,7,23,0,2
3043.jpg,1,10,3,2
38315.jpg,0,9,2,2
9130.jpg,0,4,0,0
25856.jpg,0,12,2,2
38167.jpg,2,20,3,2
9212.jpg,0,15,0,0
11250.jpg,1,16,0,0
46861.jpg,4,15,3,2
18546.jpg,2,10,3,2
28901.jpg,6,3,0,2
43844.jpg,4,13,2,2
2605.jpg,8,23,0,2
8018.jpg,3,23,0,0
20312.jpg,3,23,2,0
39248.jpg,3,4,3,0
27276.jpg,2,12,0,2
32521.jpg,0,13,1,0
50463.jpg,1,3,2,0
17690.jpg,0,4,0,0
13724.jpg,0,13,0,0
9204.jpg,0,4,2,0
29032.jpg,1,13,2,1
34374.jpg,9,23,2,0
37166.jpg,7,21,2,2
48922.jpg,4,13,2,2
12661.jpg,1,16,0,0
36527.jpg,8,1,2,2
35075.jpg,2,1,2,0
5021.jpg,7,16,2,0
44846.jpg,0,23,2,0
42723.jpg,0,6,3,2
32399.jpg,8,21,2,2
3830.jpg,0,7,2,1
55864.jpg,7,13,1,2
57898.jpg,9,21,0,2
21087.jpg,0,15,0,0
50882.jpg,9,13,0,2
30585.jpg,0,23,0,0
3791.jpg,1,23,2,0
5320.jpg,0,4,2,0
37314.jpg,0,25,3,0
31896.jpg,7,13,2,2
43690.jpg,7,23,2,0
55349.jpg,1,14,1,2
18708.jpg,8,3,3,2
36164.jpg,0,23,2,0
8235.jpg,0,9,3,2
32646.jpg,3,23,2,0
21165.jpg,1,21,0,2
35338.jpg,3,13,3,2
16798.jpg,0,22,0,0
22183.jpg,2,4,0,0
23631.jpg,8,23,2,0
11273.jpg,1,13,0,0
51350.jpg,1,4,2,0
54888.jpg,8,13,0,2
26366.jpg,7,16,2,2
51044.jpg,1,13,2,2
38331.jpg,8,21,2,2
12945.jpg,2,16,0,0
24394.jpg,0,12,0,2
14960.jpg,1,13,0,0
15609.jpg,0,17,2,0
17058.jpg,0,1,3,2
34590.jpg,7,21,2,2
18383.jpg,8,13,2,0
28287.jpg,0,20,3,0
14071.jpg,0,23,0,0
11059.jpg,3,16,0,0
49104.jpg,2,13,1,2
17008.jpg,0,6,3,2
2373.jpg,2,8,3,0
37296.jpg,0,25,3,0
13912.jpg,1,19,0,2
24359.jpg,1,12,0,2
52525.jpg,7,13,2,2
17505.jpg,8,23,0,0
19629.jpg,8,23,2,0
19911.jpg,0,13,3,1
2971.jpg,0,23,0,0
14625.jpg,1,11,0,0
24818.jpg,1,23,2,0
58728.jpg,7,23,2,2
22656.jpg,0,13,3,1
22821.jpg,2,4,2,0
11160.jpg,0,13,0,0
6684.jpg,9,23,2,2
46894.jpg,1,11,2,0
31815.jpg,0,25,3,0
10016.jpg,7,5,2,2
50205.jpg,2,20,3,2
29893.jpg,0,20,3,0
8194.jpg,1,16,2,0
35890.jpg,1,23,2,0
10402.jpg,7,21,0,2
53102.jpg,4,13,3,2
46576.jpg,4,25,3,2
19918.jpg,0,0,3,1
51682.jpg,2,20,3,0
2746.jpg,9,23,2,0
15679.jpg,5,22,0,0
32741.jpg,2,4,2,0
36094.jpg,0,24,2,0
58852.jpg,0,13,2,0
41250.jpg,2,1,2,0
57958.jpg,3,13,2,2
27534.jpg,1,16,2,0
15952.jpg,2,13,0,0
21693.jpg,7,25,3,2
9991.jpg,1,23,0,0
10332.jpg,2,1,0,0
13282.jpg,0,13,0,2
43814.jpg,8,13,2,2
27657.jpg,9,23,2,0
18767.jpg,6,13,2,0
27287.jpg,7,12,0,2
59501.jpg,4,13,2,2
52364.jpg,7,13,3,2
57413.jpg,7,3,3,2
24328.jpg,1,0,0,1
20398.jpg,2,9,3,2
36454.jpg,8,19,1,0
23795.jpg,0,6,0,2
47344.jpg,1,24,2,2
15147.jpg,9,16,0,0
32970.jpg,0,23,2,0
4172.jpg,8,19,2,0
15994.jpg,1,16,0,0
27610.jpg,0,22,2,0
8183.jpg,1,16,2,0
44126.jpg,4,14,1,0
26895.jpg,6,21,2,2
13181.jpg,8,19,0,0
24525.jpg,8,16,0,0
4661.jpg,0,19,2,0
26715.jpg,1,23,2,0
38613.jpg,0,23,2,0
19867.jpg,8,7,0,2
19863.jpg,8,19,0,0
54633.jpg,3,25,3,0
43525.jpg,8,13,2,2
13105.jpg,0,13,0,0
12569.jpg,8,23,0,0
52205.jpg,8,13,0,2
27693.jpg,7,9,3,2
58700.jpg,8,12,2,2
28918.jpg,0,13,2,0
55120.jpg,7,13,1,2
30052.jpg,0,25,3,0
21963.jpg,2,9,3,2
6835.jpg,0,13,2,1
40019.jpg,1,23,2,0
28640.jpg,0,17,2,0
27106.jpg,9,12,2,2
51323.jpg,0,13,3,1
5574.jpg,8,19,2,0
7290.jpg,7,23,0,0
44511.jpg,0,15,2,0
34637.jpg,8,19,2,0
18272.jpg,3,12,0,2
52109.jpg,1,12,2,2
47361.jpg,0,9,2,2
16197.jpg,3,23,0,0
25036.jpg,0,13,0,2
59695.jpg,7,3,2,2
43009.jpg,8,7,0,0
25422.jpg,3,19,2,0
19713.jpg,1,16,2,0
27655.jpg,8,23,1,0
26361.jpg,1,21,2,2
38479.jpg,3,23,2,0
57433.jpg,7,23,2,2
6832.jpg,0,19,2,0
49736.jpg,6,13,2,0
36712.jpg,6,14,1,2
30480.jpg,7,2,2,2
32524.jpg,1,14,1,0
36472.jpg,3,12,2,2
2918.jpg,3,23,2,0
17515.jpg,7,13,0,2
4015.jpg,0,23,2,0
29063.jpg,1,4,0,1
22318.jpg,3,23,0,0
48680.jpg,4,13,2,2
33661.jpg,0,7,2,0
26055.jpg,1,16,2,0
59984.jpg,6,5,0,2
18839.jpg,0,1,0,0
21324.jpg,2,20,3,0
2111.jpg,0,13,0,2
38574.jpg,0,13,2,0
7300.jpg,7,23,0,0
33737.jpg,0,9,3,2
23904.jpg,8,4,0,0
24187.jpg,0,4,2,0
12465.jpg,0,13,0,0
3979.jpg,1,23,2,0
46935.jpg,1,14,1,0
56298.jpg,7,2,2,2
33826.jpg,0,19,2,0
22604.jpg,0,17,2,0
33087.jpg,2,10,3,2
59174.jpg,2,8,0,0
49780.jpg,9,13,2,2
34854.jpg,0,4,2,0
41256.jpg,0,1,2,0
36565.jpg,7,13,1,2
24072.jpg,0,4,3,2
40948.jpg,8,23,2,0
53364.jpg,9,0,2,1
41518.jpg,0,20,3,0
35193.jpg,0,0,1,1
41842.jpg,7,19,2,2
14073.jpg,1,23,0,2
54969.jpg,0,13,1,0
1757.jpg,0,23,0,0
18401.jpg,2,15,0,0
35562.jpg,8,15,2,2
15494.jpg,7,4,1,2
16879.jpg,0,20,3,1
46785.jpg,1,14,1,0
8406.jpg,8,17,0,0
21023.jpg,8,16,0,0
39022.jpg,3,25,3,2
34136.jpg,0,24,2,0
7612.jpg,2,13,2,0
48638.jpg,4,13,2,2
3012.jpg,3,16,2,0
11367.jpg,6,21,0,2
28098.jpg,3,3,2,0
12144.jpg,0,12,0,2
19634.jpg,0,21,2,2
56330.jpg,8,25,3,2
37923.jpg,9,21,2,2
47680.jpg,8,4,1,0
36406.jpg,1,18,2,0
19981.jpg,8,23,2,0
17698.jpg,2,4,0,0
16937.jpg,7,13,3,2
33505.jpg,7,5,2,2
24384.jpg,0,12,0,2
2584.jpg,0,13,0,1
14981.jpg,2,1,0,0
39064.jpg,1,23,2,0
15206.jpg,5,23,0,0
7013.jpg,1,23,2,0
53460.jpg,4,10,3,2
4088.jpg,6,23,2,0
28844.jpg,0,23,2,0
19457.jpg,0,23,2,0
26674.jpg,6,7,2,2
7859.jpg,6,23,0,0
16883.jpg,0,20,3,0
56668.jpg,4,25,3,0
47417.jpg,7,9,2,2
16803.jpg,2,17,0,2
27057.jpg,8,9,2,2
31028.jpg,1,16,2,0
38012.jpg,1,25,3,0
44139.jpg,1,14,1,0
1944.jpg,1,23,0,0
5519.jpg,8,19,2,0
36861.jpg,1,16,2,0
59763.jpg,0,10,3,2
32450.jpg,0,23,2,2
19008.jpg,0,23,2,2
39684.jpg,8,19,2,0
50355.jpg,2,12,2,2
1895.jpg,0,13,3,0
43193.jpg,8,25,3,0
57549.jpg,7,13,1,2
28589.jpg,2,1,2,0
14026.jpg,0,23,0,0
20330.jpg,7,23,0,0
9990.jpg,8,23,0,0
7486.jpg,1,13,2,2
45189.jpg,0,25,3,2
27743.jpg,0,9,3,2
49791.jpg,9,13,3,0
14704.jpg,0,16,0,0
15721.jpg,0,19,0,0
56765.jpg,7,16,2,0
45911.jpg,0,25,3,2
37699.jpg,0,0,1,1
44803.jpg,0,21,2,2
29117.jpg,1,18,2,0
47525.jpg,1,3,2,0
57049.jpg,0,5,2,2
11645.jpg,0,25,3,0
39612.jpg,4,10,3,2
28374.jpg,4,20,3,0
27420.jpg,0,13,3,2
59073.jpg,5,2,2,2
24873.jpg,8,23,2,0
58140.jpg,4,13,0,2
54849.jpg,4,13,0,2
28220.jpg,2,13,1,0
14084.jpg,1,13,0,0
26827.jpg,3,22,2,0
20518.jpg,6,9,3,2
53478.jpg,8,2,2,2
30958.jpg,7,13,2,2
33941.jpg,1,23,2,0
24473.jpg,8,19,0,0
28622.jpg,0,23,2,0
34231.jpg,6,23,2,0
14066.jpg,3,23,0,0
11525.jpg,8,21,0,2
19017.jpg,7,23,2,2
6275.jpg,7,23,2,2
46717.jpg,6,14,1,2
48794.jpg,4,13,2,2
37751.jpg,7,16,2,0
22264.jpg,4,10,3,2
8132.jpg,8,25,3,2
19570.jpg,1,23,0,0
29889.jpg,2,20,3,2
4740.jpg,0,4,2,0
9214.jpg,8,4,0,2
44171.jpg,2,14,1,0
53708.jpg,9,9,2,2
51758.jpg,0,10,3,2
17966.jpg,8,4,0,2
56576.jpg,5,13,1,2
24591.jpg,3,12,0,2
17762.jpg,0,8,3,0
5801.jpg,1,23,2,0
57327.jpg,8,2,3,2
44845.jpg,7,23,2,0
